NO,등록번호,제호,기관명,종별,간별,발행인,편집인,인쇄소,유형,보급지역,상세지역,법인명,등록일,발행소명,발행소 우편번호,발행소 주소,발행소 전화번호
23894,아55360,다짐 충정로뉴스,서울특별시,인터넷신문,인터넷신문,형유미,형유미,,개인,전국,,,2024-03-19,형유미(다짐 충정로뉴스),04502,"서울 중구 중림로 10, 301호 (중림동, 중림동 삼성 사이버 빌리지)",02-362-2299
23893,아55359,더올바른 위례,서울특별시,인터넷신문,인터넷신문,권미리,권미리,,개인,전국,,,2024-03-19,권미리(더올바른 위례),05852,"서울 송파구 위례광장로 270, 2층 Y212호 (장지동, 송파와이즈더샵)",010-****-7248
23892,아55358,생생비즈,서울특별시,인터넷신문,인터넷신문,박지환,박지환,,개인,전국,,,2024-03-19,박지환(생생비즈),04157,"서울 마포구 도화동 173, 1324호",02-712-3262
23891,아55357,찐뉴스,서울특별시,인터넷신문,인터넷신문,김은경,김은경,,개인,전국,,,2024-03-19,김은경(찐뉴스),06144,"서울 강남구 언주로106길 27, YJ빌딩 3층 (역삼동)",010-****-6896
23890,아55356,평생학습미디어,서울특별시,인터넷신문,인터넷신문,배은환,배은환,,법인,전국,,주식회사 실과바늘,2024-03-19,주식회사 실과바늘,03789,"서울 서대문구 연세로5나길 30-2, 3층 (창천동)",02-322-1292
23889,아00499,뉴스앤저널,광주광역시,인터넷신문,인터넷신문,민슬기,민슬기,,개인,전국,,,2024-03-19,뉴스앤저널,62319,"광주광역시 광산구 임방울대로 154-21, 203호 (운남동)",0502-1922-6500
23888,아54004,the edu&tech news,경기도,인터넷신문,인터넷신문,김미경,김미경,,개인,전국,,,2024-03-19,김미경(the edu&tech news),12569,경기 양평군 개군면 부리새마을1길 7 (부리),010-****-6392
23887,바00013,삼성동 행복소식,양산,기타간행물,계간,이경득,이상협,주식회사 조은디자인,단체,지역,,,2024-03-18,삼성동주민자치회,50574,"경남 양산시 신기서길 27 (신기동, 삼성동주민센터) 2층",010-****-8989
23886,라00617,시작하다,마포,기타간행물,월간,김새봄,김새봄,해당없음,개인,전국,,,2024-03-18,김새봄,04057,"서울 마포구 와우산로38길 19-1, B1 (동교동, 해로빌)",070-4641-8402
23885,사00095,시로여는세상,종로,기타간행물,연2회간,김용옥,김용옥,(주)신화프린팅코아퍼레이션,법인,전국,,주식회사 시로여는세상,2024-03-18,주식회사 시로여는세상,03004,서울 종로구 평창30길 44 (평창동),010-****-7185
23884,다00448,고흥엔NEWS,전라남도,일반주간신문,일간,김주령,김주령,정명인쇄사,법인,전국,,디자인나무 주식회사,2024-03-18,디자인나무 주식회사,59543,전라남도 고흥군 고흥읍 서문여산길 46,061-835-7171
23883,라00257,공구전사,금천,잡지,월간,김형근,옥태석,주식회사타라티피에스,법인,전국,,(주)나비엠알오,2024-03-18,(주)나비엠알오,08589,"서울 금천구 디지털로 130, 308-9호 (가산동, 남성프라자)",070-4165-7808
23882,라00059,좋은저녁 함께해요,강북,잡지,월간,김구정,김구정,한영문화사,개인,전국,,,2024-03-18,좋은저녁 함께해요,11670,"경기 의정부시 신흥로258번길 25, 1702호 (의정부동, 해태프라자)",02-988-8358
23881,라00058,한국교원신문,강북,잡지,월간,김봉근,김봉근,홍익사,개인,전국,,,2024-03-18,한국교원신문TV,01160,"서울 강북구 도봉로 150, 5층 503호  (미아동, 창림빌딩)",02-946-0003
23880,라00057,SCANDAL(스캔들),강북,잡지,월간,김봉근,김봉근,홍익사,개인,전국,,,2024-03-18,SCANDAL(스캔들),01160,"서울 강북구 도봉로 150, 5층 503호 (미아동, 창림빌딩)",02-946-0003
23879,라00056,ISSUE HEADLINE(이슈헤드라인),강북,잡지,월간,김봉근,김봉근,홍익사,개인,전국,,,2024-03-18,CHALLENGE(챌린지),01160,"서울 강북구 도봉로 150, 5층 503호 (미아동, 창림빌딩)",02-946-0003
23878,라00055,더폴리틱-X(THE POLITIC-X),강북,잡지,월간,김봉근,김봉근,홍익사,개인,전국,,,2024-03-18,PHOTO SEOUL(포토서울),01160,"서울 강북구 도봉로 150 (미아동, 창림빌딩), 5층 503호",02-946-0003
23877,라00054,창작문학,강북,잡지,월간,김봉근,김봉근,홍익사,개인,전국,,,2024-03-18,대한출판문화TV,01160,"서울 강북구 도봉로 150 (미아동, 창림빌딩), 5층 503호",010-****-3034
23876,아00554,온아신문,충청남도,인터넷신문,인터넷신문,이동혁,이동혁,,법인,전국,,주식회사 온양아산신문,2024-03-18,주식회사 온양아산신문,31521,충청남도 아산시 삼동로 44-3(모종동),041-545-0500
23875,아55355,에쿼티뉴스,서울특별시,인터넷신문,인터넷신문,이주원,이주원,,개인,전국,,,2024-03-18,이주원(에쿼티뉴스),07281,"서울 영등포구 선유로9길 10, 1621호 (문래동6가, 문래 SK V1 center)",010-****-5036
23874,아55354,한국정보기술신문,서울특별시,인터넷신문,인터넷신문,김류빈,김진혁,,법인,전국,,한국정보기술진흥원 주식회사,2024-03-18,한국정보기술진흥원 주식회사,06158,"서울 강남구 테헤란로79길 6, 3층 브이1423 (삼성동)",070-8019-3790
23873,아01792,필라테스림,인천광역시,인터넷신문,인터넷신문,이가림,이가림,,개인,전국,,,2024-03-18,이가림,21344,"인천 부평구 체육관로 20 (삼산동, 유림프라자) 702호",010-****-4071
23872,아54002,더THE인더스트리 신문,경기도,인터넷신문,인터넷신문,이창운,이창운,,법인,전국,,주식회사 더인더스트리,2024-03-18,주식회사 더인더스트리,10911,"경기 파주시 고봉로 755-27, 갤러리하우스 상가 (상지석동, 가동 201-에이78호)",010-****-5325
23871,아54001,경제21C,경기도,인터넷신문,인터넷신문,강준형,강준형,,개인,전국,,,2024-03-18,강준형(경제21C),12454,"경기 가평군 청평면 경춘로 722, B동 504호 (청평리, 청수아파트)",031-585-7274
23870,아54000,광주가디언,경기도,인터넷신문,인터넷신문,신민숙,오진수,,법인,지역,광주,주식회사 포천가디언,2024-03-18,주식회사 포천가디언,11138,경기 포천시 신북면 청신로 2072 (신평리),010-****-9110
23869,아53999,포천 3P-together 인터넷뉴스,경기도,인터넷신문,인터넷신문,최봉수,최봉수,,개인,지역,포천시,,2024-03-18,최봉수,11140,"경기 포천시 신북면 중앙로 327, 106호 (가채리)",010-****-0685
23868,아01791,미디어카,인천광역시,인터넷신문,인터넷신문,임상래,전은미,,법인,전국,,주식회사 카베이,2024-03-18,주식회사 카베이,21330,"인천 부평구 주부토로 236 (갈산동, 인천테크노밸리 U1센터) D동 2101호",-1661-5519
23867,아53998,혜요뉴스,경기도,인터넷신문,인터넷신문,진혜원,진혜원,,개인,전국,,,2024-03-18,진혜원(혜요뉴스),11945,"경기 구리시 벌말로 186, 501호 (토평동, S.M BLD)",010-****-5010
23866,아00778,데일리상주문경,경상북도,인터넷신문,인터넷신문,김주희,김주희,,개인,전국,,,2024-03-18,데일리상주문경,37183,경북 상주시 삼백로 60-7 (무양동),010-****-2831
23865,아00780,콜뉴스,경상북도,인터넷신문,인터넷신문,김윤희,김윤희,,개인,전국,,,2024-03-18,콜뉴스(김윤희),37783,"경북 포항시 남구 포스코대로 323-1 (상도동), 3층",010-****-1036
23864,아00779,인터넷 뉴스인팩트,경상북도,인터넷신문,인터넷신문,윤여상,윤여상,,개인,전국,,,2024-03-18,뉴스 팩토리(윤여상),36045,경북 영주시 봉현면 소백로1623번길 24 (대촌리),010-****-5315
23863,아00777,월간복지&,경상북도,인터넷신문,인터넷신문,오경윤,이은진,,법인,전국,,주식회사 복지앤(오경윤),2024-03-18,주식회사 복지앤(오경윤),39199,"경북 구미시 문장로3길 6 (도량동), 4층",010-****-8575
23862,마00025,생명의 샘가,성동,정보간행물,격월간,최윤영,최윤영,젤기획,개인,전국,,,2024-03-18,샘명의 샘가,04731,"서울 성동구 매봉길 30, 1층 (옥수동, 거룩한 씨 성동교회)",010-****-3943
23861,사00036,Gynecologist,송파,정보간행물,연2회간,이정석,박상준,고대닷컴,법인,전국,,,2024-03-18,(주)메디칼타임즈,05854,"서울특별시 송파구 법원로 128 , 에이413호(문정동, 문정에스케이브이원지엘메트로시티)",02-3473-9150
23860,사00035,Update in Dermatology,송파,정보간행물,연2회간,이정석,박상준,고대닷컴,법인,전국,,,2024-03-18,(주)메디칼타임즈,05854,"서울특별시 송파구 법원로 128 , 에이413호(문정동, 문정에스케이브이원지엘메트로시티)",02-3473-9150
23859,사00034,Dermatologist,송파,정보간행물,연2회간,이정석,박상준,고대닷컴,법인,전국,,,2024-03-18,(주)메디칼타임즈,05854,"서울특별시 송파구 법원로 128 , 에이413호(문정동, 문정에스케이브이원지엘메트로시티)",02-3473-9150
23858,바00087,Cardiovascular Updates 심장과 혈관,송파,정보간행물,계간,이정석,박상준,고대닷컴,법인,전국,,,2024-03-18,(주)메디칼타임즈,05854,"서울특별시 송파구 법원로 128 , 에이413호(문정동, 문정에스케이브이원지엘메트로시티)",02-3473-9150
23857,바00277,시공뮤지엄,강남,전자간행물,계간,박동규,박동규,,개인,전국,,,2024-03-18,박동규,06339,"서울 강남구 개포로 662, 201호 (일원동, 금산빌딩)",010-****-2437
23856,라00026,워십뮤지션매거진(Worship Musician Magazine),연수,기타간행물,월간,가진수,가진수,해당없음,법인,전국,,주식회사 글로벌워십미니스트리,2024-03-15,주식회사 글로벌워십미니스트리,21984,"인천 연수구 송도과학로 70 (송도동, 송도 AT센터) 3015호",070-4632-0660
23855,아01790,영종신문,인천광역시,인터넷신문,인터넷신문,유순모,전수철,,개인,전국,,,2024-03-15,유순모,22360,"인천 중구 백운로 264 (운북동, 지에스칼텍스) 3층",010-****-8155
23854,아53995,경이 신문,경기도,인터넷신문,인터넷신문,채기윤,채기윤,,법인,전국,,이천24협동조합,2024-03-15,이천24협동조합,17338,"경기 이천시 대월면 경충대로2003번길 66-7 (사동리, 정원빌라), A동 302호",070-4418-2024
23853,아00492,유성매거진,대전광역시,인터넷신문,인터넷신문,박동익,박동익,,개인,전국,,,2024-03-15,박동익,34187,"대전 유성구 계룡로105번길 15, 717호 (봉명동, 한진오피스텔)",010-****-9174
23852,아53996,미래창업신문,경기도,인터넷신문,인터넷신문,이지선,이지선,,개인,전국,,,2024-03-15,이지선(미래창업신문),14624,"경기 부천시 원미구 부일로 232 (상동, 부천상동 행복주택) LH희망상가 s001동 3층 26호",010-****-9072
23851,라00161,어린이과학동아,서대문,기타간행물,월간,장경애,김정,한국학술정보 주식회사,법인,전국,,주식회사 동아사이언스,2024-03-14,주식회사 동아사이언스,03737,"서울 서대문구 충정로 29, 10층 동아사이언스 (충정로3가, 동아일보사건물)",02-6749-2000
23850,라00160,어린이수학동아,서대문,기타간행물,월간,장경애,김정,한국학술정보 주식회사,법인,전국,,주식회사 동아사이언스,2024-03-14,주식회사 동아사이언스,03737,"서울 서대문구 충정로 29, 10층 동아사이언스 (충정로3가, 동아일보사건물)",02-6749-2000
23849,라00159,과학동아,서대문,기타간행물,월간,장경애,김정,한국학술정보 주식회사,법인,전국,,주식회사 동아사이언스,2024-03-14,주식회사 동아사이언스,03737,"서울 서대문구 충정로 29, 10층 동아사이언스 (충정로3가, 동아일보사건물)",02-6749-2000
23848,라00158,수학동아X,서대문,기타간행물,월간,장경애,김정,한국학술정보 주식회사,법인,전국,,주식회사 동아사이언스,2024-03-14,주식회사 동아사이언스,03737,"서울 서대문구 충정로 29, 10층 동아사이언스 (충정로3가, 동아일보사건물)",02-6749-2000
23847,아01789,인천 외식 문화뉴스,인천광역시,인터넷신문,인터넷신문,김용근,배성아,,개인,전국,,,2024-03-14,김용근,21390,"인천 부평구 부흥로294번길 4 (부평동, 추인타워) 6층",010-****-3132
23846,아01788,인천 꼬시 외식문화뉴스,인천광역시,인터넷신문,인터넷신문,배성아,배성아,,개인,전국,,,2024-03-14,배성아,22730,"인천 서구 서곶로 263 (심곡동, 대화빌딩)",010-****-3132
23845,아55353,내일에듀신문,서울특별시,인터넷신문,인터넷신문,조민경,조민경,,개인,전국,,,2024-03-14,조민경(내일에듀신문),01414,"서울 도봉구 노해로 379, 204호 (창동)",010-****-3633
23844,아55352,GIRL CRUSH(걸크러시),서울특별시,인터넷신문,인터넷신문,김봉근,김봉근,,개인,전국,,,2024-03-14,"김봉근(웹툰왕국웹소설천국, 걸크러시)",01160,"서울 강북구 도봉로 150, 5층 503호 (미아동, 창림빌딩)",02-946-0003
23843,아55351,ISSUE광주전남TV(이슈광주전남TV),서울특별시,인터넷신문,인터넷신문,김봉근,김봉근,,개인,전국,,,2024-03-14,"김봉근(웹툰왕국웹소설천국, 걸크러시)",01160,"서울 강북구 도봉로 150, 5층 503호 (미아동, 창림빌딩)",02-946-0003
23842,아55350,베스트커리어 매거진,서울특별시,인터넷신문,인터넷신문,이자영,이자영,,개인,전국,,,2024-03-14,이자영(베스트커리어 매거진),07801,"서울 강서구 마곡중앙6로 11, 512호 (마곡동, 보타닉파크타워3)",010-****-0430
23841,아55349,아라글로벌라운지,서울특별시,인터넷신문,인터넷신문,노주영,노주영,,법인,전국,,모시리 주식회사,2024-03-14,모시리 주식회사,06163,"서울 강남구 봉은사로 504, 402 (삼성동, 진양빌딩)",02-3452-5454
23840,아55348,크리스찬 뉴스,서울특별시,인터넷신문,인터넷신문,장범균,유승훈,,법인,전국,,더씨엔지 주식회사,2024-03-14,더씨엔지 주식회사,06160,"서울 강남구 선릉로92길 28, 4층 4202호 (삼성동)",010-****-0599
23839,라00151,핍스 메거진(phyps magazine),성동,전자간행물,월간,노지윤,노지윤,주식회사 중앙피앤씨,법인,전국,,핍스 메거진(phyps magazine),2024-03-14,핍스 메거진(phyps magazine),04790,서울 성동구 상원12길 34 (성수동1가) 12층 1201호~1214호,0507-1304-9393
23838,다50779,(주)경기사랑케이팝,경기도,일반주간신문,주간,한보경,한보경,주식회사 진프로세스,법인,전국,,주식회사 땅콩치킨,2024-03-13,주식회사 땅콩치킨,16485,"경기 수원시 팔달구 중부대로170번길 17 (인계동, 수원 인계 푸르지오) 상가동 지1층 129-5호",010-****-1054
23837,아01787,산재뉴스,인천광역시,인터넷신문,인터넷신문,민동식,민동식,,법인,전국,,사단법인 인천광역시산업재해인협회,2024-03-13,사단법인 인천광역시산업재해인협회,21511,"인천 남동구 용천로 208 (간석동, 인천광역시 사회복지회관) 708호",032-422-3151
23836,아00553,JBS,충청남도,인터넷신문,인터넷신문,남기훈,남기훈,,법인,전국,,제이비에스 주식회사,2024-03-13,제이비에스 주식회사,32974,충남 논산시 번영로29번길 14-17 (취암동) 102호,041-751-0507
23835,아00498,정담 문흥 뉴스,광주광역시,인터넷신문,인터넷신문,김서진,김서진,,개인,전국,,,2024-03-13,정담 문흥 뉴스,61129,"광주광역시 북구 서하로 369, 600호 (문흥동)",062-266-0884
23834,사00007,대전PEN문학,대전서,정보간행물,연2회간,김영훈,김영훈,문경출판사,단체,전국,,,2024-03-13,국제펜한국본부 대전광역시위원회,,"대전광역시 서구 배재로 106, 401호(도마동)",010-****-2848
23833,아55347,포커스온경제,서울특별시,인터넷신문,인터넷신문,서인수,김성은,,법인,전국,,(주)에프오경제미디어(FO EconomyMedia),2024-03-12,(주)에프오경제미디어(FO EconomyMedia),06033,"서울 강남구 도산대로17길 27, 2층 (신사동)",02-545-2998
23832,아55346,글로벌 다이렉트 뉴스,서울특별시,인터넷신문,인터넷신문,유미나,유미나,,법인,전국,,주식회사 브이모션스,2024-03-12,주식회사 브이모션스,04177,"서울 마포구 마포대로4다길 18, 918호 (마포동, 강변한신코아빌딩)",010-****-6273
23831,아55344,탑코리아신문,서울특별시,인터넷신문,인터넷신문,정준호,정준호,,법인,전국,,유한회사 케이티피에이교육원,2024-03-12,유한회사 케이티피에이교육원,03183,"서울 종로구 새문안로9길 29-3, 6층 602호 (당주동)",02-730-1126
23830,아53993,경기고양 커뮤니티,경기도,인터넷신문,인터넷신문,이대우,이대우,,개인,전국,,,2024-03-12,이대우,10484,"경기 고양시 덕양구 화신로 170, 2113동 1301호 (행신동, 햇빛마을21단지아파트)",010-****-6157
23829,아00522,뉴스앤티브이,전라남도,인터넷신문,인터넷신문,이규빈,이규빈,,법인,지역,,뉴스앤티브이 주식회사,2024-03-12,뉴스앤티브이 주식회사,57040,"전남 영광군 영광읍 신남로 169 (단주리), 4층",010-****-8678
23828,아02629,모카뉴스,경상남도,인터넷신문,인터넷신문,박성준,박성준,,법인,전국,,주식회사 모카뉴스,2024-03-12,주식회사 모카뉴스,50503,경남 양산시 하북면 월평1길 25-1. 3층 1호실 (순지리),010-****-5655
23827,아00543,히페리온 폴인에듀,부산광역시,인터넷신문,인터넷신문,안서우,안서우,,법인,전국,,주식회사 히페리온,2024-03-12,주식회사 히페리온,49275,부산 서구 암남공원로 1 (암남동) 5층,010-****-0425
23826,바00058,AI연구,강서,전자간행물,계간,최학현,최학현,,개인,전국,,,2024-03-12,최학현,07801,"서울 강서구 마곡중앙6로 21 528호(B01) (마곡동, 이너매스마곡Ⅰ)",010-****-6173
23825,사00097,케이팝매거진,김포,전자간행물,연2회간,최지안,최지안,,개인,전국,,,2024-03-12,최지안,06650,"경기도 김포시 김포한강11로 227, 521-501",010-****-6173
23824,사00096,아티스트뉴스(Artist News),김포,전자간행물,연2회간,최지안,최지안,,개인,전국,,,2024-03-12,최지안,06650,"경기도 김포시 김포한강11로 227, 521-501",010-****-6173
23823,아00488,JBS뉴스투데이 중앙방송,대구광역시,인터넷신문,인터넷신문,이정희,이정희,효성인쇄소,개인,전국,,,2024-03-11,이정희,42784,"대구 달서구 진천로18길 60 (진천동, 삼영로얄팔레스) 103동 상가2호",053-523-1223
23822,아02630,경남뉴스저널,경상남도,인터넷신문,인터넷신문,이용구,이용구,,개인,전국,,,2024-03-11,경남뉴스저널,50145,경남 거창군 거창읍 대평리 1005-27 올리브빌 501호,010-****-8360
23821,아53990,M필라테스위크,경기도,인터넷신문,인터넷신문,정지나,정지나,,개인,전국,,,2024-03-11,정지나(M필라테스위크),17057,"경기 용인시 처인구 역북동 504-13, 401~402호",031-323-3369
23820,아55343,장애인리뷰,서울특별시,인터넷신문,인터넷신문,김병용,김병용,,개인,전국,,,2024-03-11,김병용(장애인리뷰),07503,"서울 강서구 개화동로5길 3-26, 3층 (개화동)",02-2672-5662
23819,아55342,스타다큐,서울특별시,인터넷신문,인터넷신문,김형석,김형석,,법인,전국,,주식회사 스타다큐,2024-03-11,주식회사 스타다큐,06640,"서울 서초구 사임당로8길 13, 4층 402-에이1176호 (서초동, 제일빌딩)",010-****-1452
23818,아00368,강릉넷TV,강원도,인터넷신문,인터넷신문,김용인,김용인,,개인,전국,,,2024-03-11,김용인(강릉넷TV),25435,"강원특별자치도 강릉시 사천면 진리해변길 69, 3층 (사천진리)",010-****-0036
23817,아53991,주식회사 케이토탈채널,경기도,인터넷신문,인터넷신문,박관수,이성관,,법인,전국,,주식회사 케이토탈채널,2024-03-11,주식회사 케이토탈채널,18467,"경기 화성시 동탄대로 636-1 (영천동), 센테라 아이티타워 2차 1303호",-1600-1933
23816,아53989,미트인사이트,경기도,인터넷신문,인터넷신문,김재윤,김재윤,,개인,전국,,,2024-03-11,김재윤(미트인사이트),13524,"경기 성남시 분당구 판교역로192번길 16 (삼평동, 판교타워), 8층 806호",010-****-8253
23815,라00006,월간 요양시대,양평,정보간행물,월간,김병익,이창길,(주)아이피디,법인,전국,,(주)진앤현웰빙,2024-03-11,(주)진앤현웰빙,12506,"경기 양평군 옥천면 사나사길 91 (용천리), 3층",02-6959-1534
23814,라00034,지금은 전포시대,연제,잡지,월간,정윤식,이근태,세양,법인,지역,,비세프미디어협동조합,2024-03-08,비세프미디어협동조합,47503,"부산 연제구 여고로 84-1, 3층 (거제동)",010-****-9109
23813,아00552,한국물결뉴스,충청남도,인터넷신문,인터넷신문,최유성,최유성,,법인,지역,,주식회사 컬컴천안점,2024-03-08,주식회사 컬컴천안점,31156,"충남 천안시 서북구 불당33길 35, 5층 (불당동, 더코너빌딩)",010-****-8034
23812,아55341,재하미디어,서울특별시,인터넷신문,인터넷신문,최재하,최재하,,개인,전국,,,2024-03-08,최재하(재하미디어),06035,"서울 강남구 강남대로 616, B20호 (신사동, 신사미타워)",02-568-5959
23811,아55340,헬스원미디어,서울특별시,인터넷신문,인터넷신문,이주호,이주호,,개인,전국,,,2024-03-08,이주호(헬스원미디어),04575,"서울 중구 난계로 163, 604호 (황학동, 올리브1)",010-****-7779
23810,다00305,더코리아플러스광주,광주광역시,특수주간신문,주간,장영래,장영래,(주)매일신문인쇄,개인,지역,,,2024-03-07,더코리아플러스광주,62298,"광주광역시 광산구 수등로 243, 501호 (신가동)",062-375-4101
23809,아55339,북극경제신문,서울특별시,인터넷신문,인터넷신문,최수범,최수범,,개인,전국,,,2024-03-07,에스비씨글로벌 최수범(북극경제신문),03190,"서울 종로구 종로12길 23, 3-5충 (관철동, 포인트23)",010-****-1315
23808,아55338,서울트리뷴,서울특별시,인터넷신문,인터넷신문,서재욱,서재욱,,개인,전국,,,2024-03-07,서재욱(서울트리뷴),07635,"서울 강서구 강서로47길 165, 9층 901-107호 (내발산동, 신원메디칼프라자)",010-****-5670
23807,아55337,트라이브미디어,서울특별시,인터넷신문,인터넷신문,최재영,최재영,,개인,전국,,,2024-03-07,최재영(트라이브미디어),02880,"서울 성북구 혜화로 88, 2층 (성북동)",010-****-7151
23806,아00776,포커스칠곡,경상북도,인터넷신문,인터넷신문,김수란,이미순,,개인,전국,,,2024-03-07,포커스칠곡(김수란),39906,"경북 칠곡군 왜관읍 달오2길 37 (왜관리, 칠곡 왜관 태왕아너스 센텀),102동 901호",010-****-1711
23805,다50778,경기시니어뉴스,경기도,특수주간신문,주간,이인석,이인석,(주)한국씨티에스,개인,전국,,,2024-03-06,이인석(경기시니어뉴스),18275,"경기 화성시 남양읍 시청로 221 (남양리, 대광파인밸리아파트), 101동 1202호",031-356-3342
23804,아53988,로앤머니,경기도,인터넷신문,인터넷신문,이승재,이승재,,개인,전국,,,2024-03-06,이승재(로앤머니),10403,"경기 고양시 일산동구 장항동 869, 102동 1306호",010-****-9084
23803,아00775,인사픽뷰,경상북도,인터넷신문,인터넷신문,윤신애,윤신애,,개인,전국,,,2024-03-06,인사픽뷰(윤신애),38489,"경북 경산시 진량읍 일연로 747 (선화리, 이안 경산진량 아파트), 105동 701호",010-****-2091
23802,아53986,샤인위클리,경기도,인터넷신문,인터넷신문,여정은,여정은,,개인,전국,,,2024-03-06,여정은(샤인위클리),16581,"경기 수원시 권선구 권선동 1062-1, 301호",010-****-1926
23801,아00774,목화신문,경상북도,인터넷신문,인터넷신문,최지훈,최지훈,,개인,지역,,,2024-03-06,목화신문(최지훈),39630,"경북 김천시 부곡길 206 (부곡동, 부곡우방타운), 109동 903호",010-****-9806
23800,아53987,경기시니어뉴스,경기도,인터넷신문,인터넷신문,이인석,이인석,,개인,전국,,,2024-03-06,이인석(경기시니어뉴스),18275,"경기 화성시 남양읍 시청로 221 (남양리, 대광파인밸리아파트), 101동 1202호",031-356-3342
23799,라00038,하루 한 장 키즈신문(지면),해운대,잡지,월간,이다희,이다희,비즈온프린팅,법인,전국,,주식회사 리딩타임즈,2024-03-05,주식회사 리딩타임즈,48104,"부산 해운대구 해운대로 794 (좌동, 엘리움), 1403호",070-8983-4078
23798,아55336,건행타임즈,서울특별시,인터넷신문,인터넷신문,홍정애,홍정애,,법인,전국,,주식회사 건행타임,2024-03-05,주식회사 건행타임,06536,"서울 서초구 강남대로 525-7, 4층 401호 (반포동)",02-545-8868
23797,아55335,더픽,서울특별시,인터넷신문,인터넷신문,유신,유신,,개인,전국,,,2024-03-05,유신(더픽),01859,"서울 노원구 섬밭로 40, 1층 (공릉동)",010-****-7779
23796,다50804,강동 아파트 신문,서울특별시,특수주간신문,주간,신충수,신충수,디엠코리아(주),단체,전국,,,2024-03-04,강동구 아파트 신문,05240,"서울 강동구 상암로 11, B1층 (암사동, 선사현대아파트)",010-****-0400
23795,라00616,명상의학 저널,종로,기타간행물,월간,고순계,고순계,명인문화사,개인,전국,,,2024-03-04,고순계,110190,"서울특별시 종로구 삼청로 22-12, 301호 (사간동)",02-735-0615
23794,아55334,경인기독신문,서울특별시,인터넷신문,인터넷신문,이종주,이종주,,개인,전국,,,2024-03-04,이종주,08298,"서울 구로구 가마산로27길 52, 1동 911호 (구로동, 미주프라자)",02-830-1145
23793,아55333,연합기독신문,서울특별시,인터넷신문,인터넷신문,이종주,이종주,,개인,전국,,,2024-03-04,이종주,08298,"서울 구로구 가마산로27길 52, 1동 911호 (구로동, 미주프라자)",02-830-1145
23792,아53984,팩트체크뉴스,경기도,인터넷신문,인터넷신문,정들국화,정들국화,,개인,전국,,,2024-03-04,정들국화(팩트체크뉴스),13365,"경기 성남시 중원구 둔촌대로101번길 27 (성남동, 엠타워), 나862호",010-****-8808
23791,아55327,창업앤투자,서울특별시,인터넷신문,인터넷신문,이현경,이현경,,법인,전국,,주식회사 창업앤투자평생교육원,2024-03-04,주식회사 창업앤투자평생교육원,06155,"서울 강남구 봉은사로68길 35-3, 1층 (삼성동, 지오삼성)",010-****-5138
23790,아53983,지구를 생각하는 곰,경기도,인터넷신문,인터넷신문,원종준,원종준,,개인,전국,,,2024-03-04,원종준(지구를 생각하는 곰),12113,"경기 남양주시 별내중앙로 30, 305-1554호 (별내동)",070-7954-8912
23789,아55332,빅텐트,서울특별시,인터넷신문,인터넷신문,강병운,강병운,,개인,전국,,,2024-03-04,강병운(빅텐트),05389,"서울 강동구 천호대로170길 77-2, 102호 (성내동)",010-****-6075
23788,아55330,라온뉴스,서울특별시,인터넷신문,인터넷신문,고진희,고진희,,개인,전국,,,2024-03-04,고진희(라온뉴스),02445,서울 동대문구 회기로 195 (휘경동),010-****-4780
23787,아55328,케이엔 뉴스(K-en news),서울특별시,인터넷신문,인터넷신문,하유미,하유미,,법인,전국,,미디어에이치케이 주식회사,2024-03-04,미디어에이치케이 주식회사,03923,"서울 마포구 월드컵북로56길 19, 10층 (상암동, 드림타워)",02-6388-8000
23786,아00153,아난다 세종 뉴스,세종특별자치시,인터넷신문,인터넷신문,김수빈,김수빈,,개인,전국,,,2024-02-29,아난다 세종 뉴스,30124,"세종특별자치시 다정중앙로 39 (다정동, 다정센터프라자2) 601,602,603호",044-866-7412
23785,아01786,집합건물 타임즈,인천광역시,인터넷신문,인터넷신문,황세훈,황세훈,,법인,전국,,주식회사 삼우통상,2024-02-29,주식회사 삼우통상,22152,"인천 미추홀구 한나루로 573 (주안동, 유한빌딩) 3층",032-863-7500
23784,다00009,보험사랑케이팝,수원,정보간행물,주간,한보경,한보경,주식회사 진프로세스,법인,전국,,주식회사 땅콩치킨,2024-02-29,주식회사 땅콩치킨,16485,"경기 수원시 팔달구 중부대로170번길 17 (인계동, 수원 인계 푸르지오) 상가동 지1층 129-5호",010-****-1054
23783,라00147,말씀함께(Companion) 큰글자,성남,잡지,월간,김다위,김다위,예림인쇄,단체,전국,,,2024-02-28,기독교대한감리회선한목자교회,13113,"경기 성남시 수정구 복정로 156, 102호 (복정동)",031-751-7002
23782,라00041,아다지오 필라테스 동천점,용인,잡지,월간,양정민,양정민,(주)클러스트벤처스,개인,지역,,,2024-02-28,양정민,16822,"경기 용인시 수지구 손곡로 95 (동천동) 302, 303, 304호",010-****-0219
23781,아55323,서울강북신문,서울특별시,인터넷신문,인터넷신문,장승일,장승일,,법인,전국,,(주)서울강북신문,2024-02-28,(주)서울강북신문,142100,"서울특별시 강북구 도봉로34길 14, 2층 (미아동)",02-987-8076
23780,아55322,데일리아트,서울특별시,인터넷신문,인터넷신문,한이수,한이수,,개인,전국,,,2024-02-28,한이수(데일리아트),03144,"서울 종로구 우정국로 51, 1층 (견지동, 선일빌딩)",010-****-3690
