연번,방송사명,방송국명,유형,우편번호,주소,전화,팩스
193,제주문화방송(주),제주MBC 지상파DMB방송국,지상파 디지털멀티미디어방송(DMB)용,63120,제주특별자치도 제주시 연동 321-22번지,064-740-2621,064-744-6646
194,춘천문화방송(주),춘천MBC 제2FM방송국,FM 방송용,24239,강원특별자치도 춘천시 삼천동 238-3번지 MBC춘천문화방송,033-259-1334,
195,춘천문화방송(주),춘천MBC 제1FM방송국,FM 방송용,24239,강원특별자치도 춘천시 삼천동 238-3번지 MBC춘천문화방송,033-259-1334,
196,춘천문화방송(주),춘천MBC DTV방송국,TV 방송용,24239,강원특별자치도 춘천시 삼천동 238-3번지 MBC춘천문화방송,033-259-1334,
197,춘천문화방송(주),춘천MBC 지상파DMB방송국,지상파 디지털멀티미디어방송(DMB)용,24239,강원특별자치도 춘천시 삼천동 238-3번지 MBC춘천문화방송,033-259-1334,
198,태백에프엠 공동체라디오 사회적협동조합,태백FM공동체라디오,FM 방송용,26016,강원특별자치도 태백시 황지동 49-149번지,,033-554-0483
199,포항문화방송(주),포항MBC 제2FM방송국,FM 방송용,37685,경상북도 포항시 남구 대잠동 907-4번지 포항문화방송,054-289-0114,
200,포항문화방송(주),포항MBC 제1FM방송국,FM 방송용,37685,경상북도 포항시 남구 대잠동 907-4번지 포항문화방송,054-289-0114,
201,포항문화방송(주),포항MBC DTV방송국,TV 방송용,37685,경상북도 포항시 남구 대잠동 907-4번지 포항문화방송,054-289-0114,
202,풀뿌리미디어 사회적협동조합,성주FM공동체라디오,FM 방송용,40026,경상북도 성주군 성주읍 경산리 42-4번지,,
203,한국교육방송공사,EBS FM방송국,FM 방송용,10393,경기도 고양시 일산동구 장항동 1775번지 디지털통합사옥,02-526-2520,
204,한국교육방송공사,EBS DTV방송국,TV 방송용,10393,경기도 고양시 일산동구 장항동 1775번지 디지털통합사옥,02-526-2520,
205,한국도로교통공단,교통부산FM방송국,FM 방송용,26466,강원특별자치도 원주시 반곡동 1600번지 도로교통공단,02-2230-6271,
206,한국도로교통공단,교통광주FM방송국,FM 방송용,26466,강원특별자치도 원주시 반곡동 1600번지 도로교통공단,02-2230-6271,
207,한국도로교통공단,교통대전FM방송국,FM 방송용,26466,강원특별자치도 원주시 반곡동 1600번지 도로교통공단,02-2230-6271,
208,한국도로교통공단,교통대구FM방송국,FM 방송용,26466,강원특별자치도 원주시 반곡동 1600번지 도로교통공단,02-2230-6271,
209,한국도로교통공단,교통인천FM방송국,FM 방송용,26466,강원특별자치도 원주시 반곡동 1600번지 도로교통공단,02-2230-6271,
210,한국도로교통공단,교통원주FM방송국,FM 방송용,26466,강원특별자치도 원주시 반곡동 1600번지 도로교통공단,02-2230-6271,
211,한국도로교통공단,교통전주FM방송국,FM 방송용,26466,강원특별자치도 원주시 반곡동 1600번지 도로교통공단,02-2230-6271,
212,한국도로교통공단,교통울산FM방송국,FM 방송용,26466,강원특별자치도 원주시 반곡동 1600번지 도로교통공단,02-2230-6271,
213,한국도로교통공단,교통창원FM방송국,FM 방송용,26466,강원특별자치도 원주시 반곡동 1600번지 도로교통공단,02-2230-6271,
214,한국도로교통공단,교통포항FM방송국,FM 방송용,26466,강원특별자치도 원주시 반곡동 1600번지 도로교통공단,02-2230-6271,
215,한국도로교통공단,교통제주FM방송국,FM 방송용,26466,강원특별자치도 원주시 반곡동 1600번지 도로교통공단,02-2230-6271,
216,한국도로교통공단,교통충북FM방송국,FM 방송용,26466,강원특별자치도 원주시 반곡동 1600번지 도로교통공단,02-2230-6271,
217,한국도로교통공단,교통충남FM방송국,FM 방송용,26466,강원특별자치도 원주시 반곡동 1600번지 도로교통공단,02-2230-6271,
218,한국문화나눔사회적협동조합,상주FM공동체라디오,FM 방송용,37204,경상북도 상주시 신봉동 546-7번지 501호,054-536-2127,
219,한국방송공사,KBS제1AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
220,한국방송공사,KBS제2AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
221,한국방송공사,KBS대구제1AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
222,한국방송공사,KBS대전제1AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
223,한국방송공사,KBS강릉제1AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
224,한국방송공사,KBS안동 AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
225,한국방송공사,KBS진주제1AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
226,한국방송공사,KBS부산제1AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
227,한국방송공사,KBS광주제1AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
228,한국방송공사,KBS전주제1AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
229,한국방송공사,KBS목포제1AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
230,한국방송공사,KBS제주제1AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
231,한국방송공사,KBS순천제1AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
232,한국방송공사,KBS춘천제1AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
233,한국방송공사,KBS청주제1AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
234,한국방송공사,KBS원주제1AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
235,한국방송공사,KBS포항 AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
236,한국방송공사,KBS한민족방송제2AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
237,한국방송공사,KBS울산제1AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
238,한국방송공사,KBS김제국제방송,국제방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
239,한국방송공사,KBS대구제1표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
240,한국방송공사,KBS광주제1표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
241,한국방송공사,KBS창원제1라디오FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
242,한국방송공사,KBS대구제2AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
243,한국방송공사,KBS춘천제1표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
244,한국방송공사,KBS제1FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
245,한국방송공사,국군FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
246,한국방송공사,KBS한민족방송제1AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
247,한국방송공사,KBS대전제1표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
248,한국방송공사,KBS제주제1표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
249,한국방송공사,KBS전주제1표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
250,한국방송공사,KBS강릉제1표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
251,한국방송공사,KBS부산제2표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
252,한국방송공사,KBS순천제1표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
253,한국방송공사,KBS울산제1표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
254,한국방송공사,KBS포항제1표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
255,한국방송공사,KBS사랑의소리AM방송국,중파방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
256,한국방송공사,KBS울릉제1라디오FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
257,한국방송공사,KBS제2FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
258,한국방송공사,KBS부산FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
259,한국방송공사,KBS대구FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
260,한국방송공사,KBS창원FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
261,한국방송공사,KBS충주제1라디오FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
262,한국방송공사,KBS안동제1표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
263,한국방송공사,KBS광주FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
264,한국방송공사,KBS전주FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
265,한국방송공사,KBS대전FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
266,한국방송공사,KBS춘천FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
267,한국방송공사,KBS충주FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
268,한국방송공사,KBS강릉FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
269,한국방송공사,KBS제주FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
270,한국방송공사,KBS울산FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
271,한국방송공사,KBS원주FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
272,한국방송공사,KBS진주FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
273,한국방송공사,KBS청주FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
274,한국방송공사,KBS목포FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
275,한국방송공사,KBS제1표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
276,한국방송공사,KBS청주제1표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
277,한국방송공사,KBS제2표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
278,한국방송공사,KBS제주제2표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
279,한국방송공사,KBS원주제1표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
280,한국방송공사,KBS부산제1표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
281,한국방송공사,KBS진주제1표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
282,한국방송공사,KBS목포제1표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
283,한국방송공사,KBS춘천제2표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
284,한국방송공사,KBS창원제2표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
285,한국방송공사,KBS제1DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
286,한국방송공사,KBS 제2DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
287,한국방송공사,KBS광주제2표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
288,한국방송공사,KBS대전제2표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
289,한국방송공사,KBS대구제2표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
290,한국방송공사,KBS전주제2표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
291,한국방송공사,KBS부산제1DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
292,한국방송공사,KBS부산제2DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
293,한국방송공사,KBS울산제1DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
294,한국방송공사,KBS울산제2DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
295,한국방송공사,KBS대구제1DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
296,한국방송공사,KBS대구제2DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
297,한국방송공사,KBS광주제1DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
298,한국방송공사,KBS광주제2DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
299,한국방송공사,KBS대전제1DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
300,한국방송공사,KBS대전제2DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
301,한국방송공사,KBS청주제2표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
302,한국방송공사,KBS춘천제1DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
303,한국방송공사,KBS춘천제2DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
304,한국방송공사,KBS청주제1DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
305,한국방송공사,KBS청주제2DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
306,한국방송공사,KBS전주제1DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
307,한국방송공사,KBS전주제2DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
308,한국방송공사,KBS창원제1DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
309,한국방송공사,KBS창원제2DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
310,한국방송공사,KBS제주제1DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
311,한국방송공사,KBS제주제2DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
312,한국방송공사,KBS목포제1DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
313,한국방송공사,KBS지상파DMB방송국,지상파 디지털멀티미디어방송(DMB)용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
314,한국방송공사,KBS진주제1DTV지상파방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
315,한국방송공사,KBS순천제1DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
316,한국방송공사,KBS강릉제2DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
317,한국방송공사,KBS강릉제1DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
318,한국방송공사,KBS원주제1DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
319,한국방송공사,KBS충주제1DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
320,한국방송공사,KBS안동제1DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
321,한국방송공사,KBS포항제1DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
322,한국방송공사,KBS지역지상파DMB방송국,지상파 디지털멀티미디어방송(DMB)용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
323,한국방송공사,KBS한민족방송단파방송국,국제방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
324,한국방송공사,KBS제3표준FM방송국,FM 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
325,한국방송공사,KBS경인제1DTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
326,한국방송공사,KBS 제1UHDTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
327,한국방송공사,KBS 제2UHDTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
328,한국방송공사,KBS제1부산UHDTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
329,한국방송공사,KBS제1대구UHDTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
330,한국방송공사,KBS제1광주UHDTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
331,한국방송공사,KBS제1대전UHDTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
332,한국방송공사,KBS제1울산UHDTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
333,한국방송공사,KBS제주제1UHDTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
334,한국방송공사,KBS전주제1UHDTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
335,한국방송공사,KBS청주제1UHDTV방송국,TV 방송용,07235,서울특별시 영등포구 여의도동 18번지 한국방송공사 신관 기술관리국,02-781-5118,02-781-5129
